date,areaType,areaCode,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
30/10/2020,utla,E08000028,Sandwell,6796,225
30/10/2020,utla,E08000002,Bury,6601,162
30/10/2020,utla,E09000011,Greenwich,2500,45
30/10/2020,utla,E06000005,Darlington,1996,44
30/10/2020,utla,S12000047,Fife,2467,50
30/10/2020,utla,E10000034,Worcestershire,6369,165
30/10/2020,utla,N09000007,Lisburn and Castlereagh,2666,49
30/10/2020,utla,E08000037,Gateshead,5039,86
30/10/2020,utla,E09000017,Hillingdon,3699,60
30/10/2020,utla,E09000008,Croydon,3891,65
30/10/2020,utla,W06000024,Merthyr Tydfil,2053,56
30/10/2020,utla,E06000036,Bracknell Forest,925,24
30/10/2020,utla,E08000017,Doncaster,7716,193
30/10/2020,utla,S12000050,North Lanarkshire,6518,137
30/10/2020,utla,E10000032,West Sussex,5743,131
30/10/2020,utla,E08000003,Manchester,23874,426
30/10/2020,utla,E09000020,Kensington and Chelsea,1791,26
30/10/2020,utla,E09000030,Tower Hamlets,3671,75
30/10/2020,utla,W06000021,Monmouthshire,877,19
30/10/2020,utla,E06000051,Shropshire,3356,97
30/10/2020,utla,N09000009,Mid Ulster,3409,82
30/10/2020,utla,E08000018,Rotherham,7519,215
30/10/2020,utla,S12000040,West Lothian,2227,43
30/10/2020,utla,W06000008,Ceredigion,245,2
30/10/2020,utla,S12000038,Renfrewshire,2807,44
30/10/2020,utla,W06000016,Rhondda Cynon Taf,6984,200
30/10/2020,utla,E10000003,Cambridgeshire,4563,84
30/10/2020,utla,E09000031,Waltham Forest,3040,78
30/10/2020,utla,E09000025,Newham,4162,89
30/10/2020,utla,W06000022,Newport,2044,44
30/10/2020,utla,E06000049,Cheshire East,6033,120
30/10/2020,utla,S12000008,East Ayrshire,1679,24
30/10/2020,utla,S12000020,Moray,201,1
30/10/2020,utla,E10000030,Surrey,11039,238
30/10/2020,utla,W06000006,Wrexham,2953,55
30/10/2020,utla,E09000021,Kingston upon Thames,2044,29
30/10/2020,utla,S12000010,East Lothian,774,18
30/10/2020,utla,N09000010,"Newry, Mourne and Down",3301,46
30/10/2020,utla,E06000031,Peterborough,2788,45
30/10/2020,utla,E09000015,Harrow,3146,50
30/10/2020,utla,E06000011,East Riding of Yorkshire,4970,152
30/10/2020,utla,E08000006,Salford,9525,231
30/10/2020,utla,S12000035,Argyll and Bute,462,9
30/10/2020,utla,E08000012,Liverpool,19873,242
30/10/2020,utla,E10000015,Hertfordshire,10771,174
30/10/2020,utla,S12000014,Falkirk,1560,15
30/10/2020,utla,S12000021,North Ayrshire,1550,35
30/10/2020,utla,E10000020,Norfolk,6275,149
30/10/2020,utla,S12000041,Angus,801,8
30/10/2020,utla,E10000008,Devon,4807,94
30/10/2020,utla,S12000034,Aberdeenshire,959,7
30/10/2020,utla,W06000001,Isle of Anglesey,796,9
30/10/2020,utla,E08000035,Leeds,24786,514
30/10/2020,utla,S12000011,East Renfrewshire,1403,23
30/10/2020,utla,E06000019,"Herefordshire, County of",1506,19
30/10/2020,utla,S12000033,Aberdeen City,2076,15
30/10/2020,utla,S12000048,Perth and Kinross,922,18
30/10/2020,utla,E08000013,St. Helens,5853,86
30/10/2020,utla,E06000017,Rutland,296,7
30/10/2020,utla,S12000005,Clackmannanshire,487,4
30/10/2020,utla,S12000042,Dundee City,2410,27
30/10/2020,utla,W06000014,Vale of Glamorgan,1462,27
30/10/2020,utla,E06000010,"Kingston upon Hull, City of",4331,181
30/10/2020,utla,S12000030,Stirling,733,13
30/10/2020,utla,E08000029,Solihull,3649,96
30/10/2020,utla,S12000006,Dumfries and Galloway,886,15
30/10/2020,utla,E10000023,North Yorkshire,7696,200
30/10/2020,utla,S12000036,City of Edinburgh,5720,50
30/10/2020,utla,S12000027,Shetland Islands,68,1
30/10/2020,utla,E06000043,Brighton and Hove,2719,37
30/10/2020,utla,S12000013,Na h-Eileanan Siar,69,0
30/10/2020,utla,E08000010,Wigan,11262,334
30/10/2020,utla,E10000029,Suffolk,4890,82
30/10/2020,utla,E08000007,Stockport,7313,176
